compound_id
4868
4868
6855
7948
8601
8978
9550
14778
18329
18529
21828
22829
24036
24301
24705
24896
25048
26714
47933
60924
61551
61695
61720
62299
62925
64702
65049
65281
65281
69522
72441
73977
75842
76750
78856
79256
